class : accuracy, average score
seagull : 0.19, -4.269
panda : 0.26, -1.723
loudspeaker : 0.26, -4.412
ashtray : 0.30, -3.323
race car : 0.33, -2.464
tablelamp : 0.33, -3.219
dragon : 0.33, -6.540
dog : 0.33, -3.168
flying bird : 0.37, -3.924
suv : 0.37, 3.207
monkey : 0.37, -4.339
armchair : 0.37, -1.636
bear (animal) : 0.37, -1.580
parrot : 0.37, -4.687
tiger : 0.41, -3.670
toilet : 0.41, -6.041
duck : 0.41, -1.305
flying saucer : 0.41, -3.130
pigeon : 0.41, -1.466
standing bird : 0.41, 0.158
banana : 0.44, -2.110
truck : 0.44, 2.191
satellite : 0.44, -3.039
microphone : 0.48, -2.886
bottle opener : 0.48, -0.732
cabinet : 0.48, 0.430
cup : 0.48, 3.662
house : 0.48, 1.574
helmet : 0.48, -4.510
van : 0.48, 3.367
beer-mug : 0.52, 0.607
bread : 0.52, -2.538
frog : 0.52, -3.564
bush : 0.52, -1.574
megaphone : 0.52, -2.979
scorpion : 0.52, -2.383
kangaroo : 0.56, -1.966
pen : 0.56, 0.672
door handle : 0.56, -2.472
floor lamp : 0.56, 3.662
airplane : 0.56, -3.720
fish : 0.56, -1.180
bed : 0.56, -2.108
bulldozer : 0.56, -3.676
bridge : 0.56, -1.284
squirrel : 0.56, -3.150
angel : 0.59, -1.458
barn : 0.59, 2.466
dolphin : 0.59, -2.125
bathtub : 0.59, -0.206
teddy-bear : 0.59, 1.966
teacup : 0.59, 3.922
computer-mouse : 0.59, -0.908
mermaid : 0.59, -4.223
flashlight : 0.59, -2.682
snowboard : 0.59, -0.230
shark : 0.59, -0.153
rabbit : 0.59, -1.810
person sitting : 0.59, -3.354
violin : 0.63, 1.609
vase : 0.63, 1.242
tv : 0.63, 3.344
trombone : 0.63, -2.413
tire : 0.63, 2.638
head : 0.63, 0.042
pipe (for smoking) : 0.63, 2.507
mosquito : 0.63, -1.677
telephone : 0.63, -2.593
horse : 0.63, 1.042
space shuttle : 0.63, -2.541
paper clip : 0.63, 0.143
leaf : 0.63, 0.271
screwdriver : 0.63, 2.950
submarine : 0.63, -2.155
owl : 0.63, -2.221
stapler : 0.63, -0.600
speed-boat : 0.63, -2.191
lion : 0.63, -3.040
lobster : 0.63, -2.666
cake : 0.63, -0.261
car (sedan) : 0.63, 3.343
bookshelf : 0.63, 2.931
pig : 0.67, 0.889
crane (machine) : 0.67, -2.858
swan : 0.67, 0.346
hammer : 0.67, 0.016
crocodile : 0.67, -2.778
arm : 0.67, 0.071
parking meter : 0.67, 0.942
cat : 0.67, -2.802
suitcase : 0.67, 1.012
ant : 0.67, -0.071
alarm clock : 0.67, -0.474
spider : 0.67, 0.402
satellite dish : 0.67, -3.479
carrot : 0.67, 0.366
sheep : 0.67, 1.792
apple : 0.67, 6.622
piano : 0.70, 1.910
bench : 0.70, 2.613
pickup truck : 0.70, 4.251
teapot : 0.70, 0.438
crab : 0.70, 1.835
wrist-watch : 0.70, -0.249
face : 0.70, 1.690
computer monitor : 0.70, 1.472
sword : 0.70, 2.627
chandelier : 0.70, -1.372
